NumberofFloors,NumberofBuildings,PropertyGFABuilding(s),PropertyGFAParking,ENERGYSTARScore,SiteEUIWN(kBtu/sf),SiteEnergyUse(kBtu),LargestPropertyUseTypeGFA,Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions,BuildingType,Neighborhood,largestUseType_encode,BuildingAge
34.0,2.0,926614.0,156583.0,91.0,56.79999924,56395556.0,994212.0,35842446.0,15684080.0,1385.4,2,1,2,39.0
7.0,1.0,57420.0,13730.0,78.0,83.5,4792858.0,57420.0,2289185.0,2503670.0,142.4,1,1,2,36.0
7.0,1.0,122810.0,0.0,0.0,32.0,4038437.0,90874.0,695837.0,3342600.0,180.4,1,1,2,113.0
7.0,1.0,115718.0,34735.0,97.0,46.90000153,5411756.0,115718.0,3346313.0,2065440.0,123.5,1,1,2,21.0
6.0,1.0,88100.0,28200.0,99.0,37.09999847,3279989.0,88490.0,1891754.0,1388240.0,81.6,1,1,2,24.0
6.0,1.0,118858.0,36744.0,63.0,56.90000153,6761224.0,118858.0,4163524.0,2597700.0,155.2,1,0,2,23.0
3.0,1.0,56072.0,0.0,59.0,58.59999847,4006083.0,67064.0,575256.0,3430830.0,184.6,1,1,1,110.0
4.0,1.0,78051.0,44891.0,100.0,33.09999847,2580550.0,78051.0,1565333.0,1015220.0,60.4,1,0,2,22.0
2.0,1.0,54984.0,0.0,74.0,51.70000076,2910481.0,54984.0,1586126.0,1324350.0,76.9,1,1,1,59.0
5.0,1.0,296313.0,74944.0,44.0,152.8000031,44967996.0,296313.0,10746565.0,34221431.0,1862.0,1,0,1,99.0
2.0,1.0,93397.0,0.0,1.0,165.8000031,15596807.0,93397.0,5238024.0,10358780.0,571.8,1,1,1,51.0
6.0,1.0,63371.0,20732.0,84.0,58.79999924,3737385.0,63371.0,3061019.0,676366.0,48.6,1,1,2,13.0
3.0,1.0,78972.0,0.0,96.0,29.60000038,2689854.0,89973.0,1228011.0,1461840.0,82.7,1,0,1,5.0
3.0,2.0,179014.0,150475.0,0.0,174.3000031,20097586.0,150475.0,9146989.0,10950600.0,619.4,1,1,1,56.0
7.0,1.0,76631.0,0.0,88.0,87.0,6669361.0,76631.0,1533576.0,5135790.0,279.1,1,1,2,113.0
6.0,1.0,96783.0,24316.0,30.0,137.3999939,13427937.0,96783.0,8521098.0,0.0,442.6,1,1,1,38.0
5.0,2.0,287367.0,150726.0,91.0,42.90000153,12352771.0,251818.0,11555124.0,797650.0,90.2,1,1,1,11.0
7.0,1.0,238097.0,44766.0,82.0,70.69999695,16931560.0,238793.0,7998086.0,8933470.0,507.5,1,1,2,31.0
1.0,1.0,65127.0,0.0,0.0,70.5,4554484.0,65000.0,2667414.0,0.0,165.6,1,0,1,59.0
5.0,1.0,396085.0,0.0,0.0,22.89999962,6343064.0,278500.0,4402483.0,0.0,179.3,1,0,1,83.0
12.0,1.0,571329.0,0.0,85.0,44.5,26258116.0,544487.0,25289799.0,968320.0,156.1,1,1,1,11.0
2.0,1.0,63888.0,2352.0,0.0,53.70000076,2986294.0,55632.0,2986294.0,0.0,12.4,1,0,1,35.0
6.0,1.0,616891.0,303707.0,82.0,57.5,42478444.0,729584.0,24915905.0,17562541.0,1035.8,1,0,1,11.0
4.0,1.0,50283.0,25930.0,73.0,61.70000076,3174528.0,48546.0,2010627.0,1163900.0,70.1,1,0,1,51.0
6.0,1.0,81560.0,45640.0,83.0,56.20000076,4586302.0,79696.0,2286897.0,2299400.0,131.6,1,0,2,19.0
4.0,2.0,60953.0,10450.0,70.0,66.30000305,4041396.0,52953.0,1514956.0,2526440.0,140.4,1,1,2,59.0
3.0,1.0,75364.0,0.0,70.0,37.59999847,2697900.0,72120.0,1760618.0,937280.0,57.1,1,0,1,22.0
3.0,1.0,67743.0,0.0,42.0,44.90000153,3106536.0,67743.0,1131475.0,1975060.0,109.6,1,1,1,98.0
6.0,1.0,161514.0,6725.0,90.0,47.79999924,7759090.0,160225.0,2563915.0,5195170.0,286.5,1,1,1,113.0
3.0,1.0,63681.0,35752.0,22.0,76.40000153,4903581.0,63681.0,4903580.0,0.0,20.3,1,1,1,18.0
2.0,1.0,60725.0,0.0,40.0,37.70000076,2232419.0,58602.0,2232419.0,0.0,9.2,1,1,1,30.0
1.0,1.0,130862.0,0.0,54.0,54.20000076,7850571.0,142925.0,2076811.0,5773760.0,315.2,1,1,1,64.0
3.0,1.0,59955.0,0.0,62.0,30.89999962,1886652.0,61327.0,1668843.0,217810.0,18.5,1,1,1,32.0
2.0,1.0,93218.0,0.0,70.0,40.90000153,3933145.0,94263.0,1107570.0,2825580.0,154.6,1,0,1,57.0
4.0,1.0,56521.0,0.0,0.0,90.40000153,5108734.0,41572.0,5108736.0,0.0,21.1,1,1,2,80.0
2.0,1.0,128315.0,100070.0,88.0,110.5999985,14347799.0,129396.0,12561790.0,1786010.0,146.8,1,1,1,92.0
2.0,1.0,131013.0,0.0,86.0,41.29999924,5475432.0,132672.0,1659411.0,3816020.0,209.5,1,1,1,58.0
1.0,1.0,245587.0,0.0,80.0,52.70000076,14620431.0,269361.0,3464538.0,11155890.0,606.8,1,1,1,62.0
3.0,1.0,66588.0,0.0,44.0,38.0,2518555.0,65188.0,2518555.0,0.0,10.4,1,1,1,30.0
5.0,2.0,169037.0,13200.0,100.0,19.5,3715154.0,169037.0,3013727.0,701430.0,49.7,1,1,2,117.0
6.0,1.0,174000.0,0.0,0.0,59.09999847,10884942.0,183010.0,6583727.0,72790.0,382.1,1,1,1,23.0
5.0,2.0,302661.0,148865.0,39.0,0.0,63914268.0,302661.0,30636488.0,33277781.0,1894.1,2,1,2,67.0
4.0,1.0,61156.0,0.0,0.0,139.1000061,8135582.0,30301.0,6228347.0,1907240.0,127.1,1,1,1,15.0
4.0,1.0,59000.0,13820.0,0.0,24.89999962,1470972.0,57063.0,989927.0,481040.0,29.6,1,1,2,111.0
4.0,1.0,148022.0,14200.0,100.0,34.70000076,3944963.0,113702.0,2928224.0,1016740.0,66.1,1,0,2,25.0
4.0,1.0,289588.0,0.0,89.0,27.79999924,7445262.0,265346.0,5665483.0,1779780.0,118.0,1,1,1,31.0
3.0,1.0,64820.0,0.0,0.0,34.70000076,2226924.0,50820.0,1255489.0,971430.0,56.8,1,1,2,106.0
2.0,27.0,529343.0,0.0,0.0,46.59999847,24897808.0,529343.0,14049695.0,10848110.0,634.3,2,0,2,51.0
2.0,1.0,96300.0,0.0,0.0,77.30000305,7472433.0,96300.0,5812622.0,1659810.0,112.2,1,1,1,19.0
1.0,1.0,67356.0,0.0,0.0,86.5,6003499.0,67772.0,1922047.0,4081450.0,224.7,1,1,1,71.0
3.0,1.0,254523.0,0.0,48.0,64.30000305,16600766.0,255419.0,6536839.0,10063930.0,561.5,1,1,1,13.0
3.0,1.0,78804.0,0.0,42.0,58.79999924,4661040.0,78804.0,1488625.0,3172420.0,174.6,1,1,1,20.0
3.0,1.0,66994.0,0.0,47.0,46.70000076,3166253.0,68127.0,2086859.0,1079390.0,66.0,1,1,1,19.0
3.0,1.0,98357.0,0.0,73.0,41.29999924,4319249.0,103166.0,1733036.0,2586210.0,144.5,1,1,1,21.0
1.0,1.0,54765.0,0.0,11.0,73.09999847,4065796.0,29000.0,3032268.0,1033530.0,67.4,1,1,0,63.0
5.0,1.0,89821.0,0.0,0.0,16.39999962,1448529.0,46483.0,56967.0,1391560.0,74.1,1,1,0,12.0
2.0,1.0,52611.0,0.0,0.0,118.1999969,6300282.0,52611.0,2327388.0,3972890.0,220.6,1,0,2,41.0
4.0,1.0,102100.0,37500.0,88.0,42.70000076,3915099.0,92287.0,2348900.0,1566200.0,92.9,0,0,1,20.0
2.0,1.0,236758.0,0.0,79.0,38.09999847,9361048.0,244739.0,3902895.0,5458150.0,306.0,1,0,1,10.0
3.0,1.0,62526.0,0.0,59.0,49.40000153,3031342.0,60834.0,1102479.0,1928860.0,107.0,1,1,1,19.0
3.0,1.0,64015.0,0.0,51.0,45.79999924,2796523.0,36200.0,2084850.0,711670.0,46.4,1,1,1,14.0
